Punt  ETRS X	      ETRS Y	      ETRS Z	       RD-X	       RD-Y	       RD-Z
10000;3826597.2075653;460842.23827549;5064896.5670354;;254543.50282961;548583.28123074;8.1686942280269
10001;3826609.0108658;460843.95827016;5064887.4821479;;254544.10649704;548568.29977077;8.1112111866923
10002;3826642.9608768;460856.32348526;5064860.9124205;;254553.22600674;548524.3874796 ;8.130896246036
10003;3826663.5405048;460870.33948328;5064844.2343701;;254565.24624494;548496.93581063;8.1566753314786
10004;3826665.7594512;460871.56419892;5064842.439327 ;;254566.25728819;548493.99924713;8.1413776057242
10005;3826682.6301798;460888.93833183;5064828.225256 ;;254581.97014755;548470.72629801;8.154699136424
10006;3826689.9034521;460898.99945718;5064821.8473183;;254591.30422004;548460.34936711;8.1464164004255
10007;3826697.2225018;460910.24290331;5064815.2872654;;254601.81172565;548449.73759982;8.1055420134513
10008;3826703.8916306;460922.59964504;5064809.1892155;;254613.48791704;548439.83709128;8.124456558087
10009;3826709.5842924;460935.14925191;5064803.7754716;;254625.44834026;548431.11027756;8.1186377711139
10010;3826714.9751922;460950.65407156;5064798.4155534;;254640.37845943;548422.43394323;8.1882484684427
10011;3826721.1848626;460976.74378505;5064791.3854402;;254665.77214996;548411.30639826;8.1790459021983
10012;3826723.0916981;460991.4355077 ;5064788.6043148;;254680.22161612;548407.01314268;8.1615437534064
10013;3826723.0964947;460991.44028622;5064788.6023066;;254680.22589801;548407.00776355;8.1631579078457
10014;3826723.9907318;461006.20917862;5064786.5785013;;254694.84735766;548403.96959874;8.1491908194664
10015;3826723.9559623;461021.18002005;5064785.3205367;;254709.756171  ;548402.11590557;8.2045989795644
10016;3826722.8496678;461036.11198554;5064784.7471935;;254724.7285504 ;548401.5289845 ;8.1618997951258
10017;3826720.8150644;461049.48176853;5064785.0413195;;254738.2323898 ;548402.31957205;8.142822421468
10018;3826720.8093555;461049.47425433;5064785.0348377;;254738.22558653;548402.32076243;8.1336918663041
10019;3826717.8370083;461065.54978379;5064785.8032271;;254754.51151093;548403.93917479;8.1267549517346
10020;3826713.8884391;461079.98807233;5064787.2634142;;254769.26137178;548406.87287446;7.969201569712
10021;3826708.9932885;461093.83423017;5064789.7279238;;254783.50767425;548411.20834294;8.0034724319419
10022;3826689.3245039;461132.51074932;5064801.1633327;;254823.86496937;548430.82444186;8.1410637448628
10023;3826681.0858118;461144.12677611;5064806.3156328;;254836.20540388;548439.60337393;8.1570963036714
10024;3826672.2060238;461154.78947144;5064812.0149659;;254847.65714119;548449.29282982;8.1569794407235
10025;3826662.564524 ;461164.45487807;5064818.3502321;;254858.18782369;548460.04550816;8.1362529658367
10026;3826652.5829493;461173.37922124;5064824.8497332;;254868.01456814;548471.22290782;7.989524255007
10027;3826642.1047877;461181.19274539;5064832.2116367;;254876.77713692;548483.39798695;8.153380079941
10028;3826631.1312725;461187.97073991;5064839.8572828;;254884.55746219;548496.21526093;8.1723660903427
10029;3826619.5666297;461193.39807666;5064847.8064195;;254891.05178428;548509.78555532;7.9821639058103
10030;3826609.2764953;461197.00601864;5064855.3509078;;254895.6098933 ;548522.23680971;8.1009004992009
10031;3826605.5890006;461198.42043464;5064858.0139648;;254897.36464764;548526.66520027;8.1198913458386
10032;3826602.7799935;461199.3048017 ;5064860.0538852;;254898.50918028;548530.05988866;8.1294391356765
10033;3826596.30722  ;461201.10372815;5064864.7601544;;254900.90882994;548537.90359782;8.1387534663886
10034;3826584.2578844;461203.00160287;5064873.6376407;;254903.93140166;548552.68409296;8.1444284575947
10035;3826572.2188236;461203.84898954;5064882.6843339;;254905.90602353;548567.63723053;8.2154794533711
10036;3826560.2487693;461203.46400223;5064891.6902876;;254906.64833276;548582.60343357;8.206455867984
10037;3826560.2430332;461203.47184273;5064891.6878396;;254906.65675385;548582.60592589;8.2016347631341
10038;3826548.2888066;461201.60360828;5064900.8403484;;254905.92040953;548597.75916497;8.2120160456699
10039;3826548.2821331;461201.60608642;5064900.8439623;;254905.923519  ;548597.76645863;8.2110827599172
10040;3826536.588204 ;461198.81261051;5064909.8674002;;254904.24165636;548612.70452879;8.2075981990679
10041;3826536.5684134;461198.8116359 ;5064909.8632981;;254904.2427831 ;548612.717849  ;8.1924078730978
10042;3826525.069528 ;461194.53736309;5064918.804035 ;;254901.06902888;548627.56220846;8.1329006723291
10043;3826514.1774686;461189.06102193;5064927.5463086;;254896.63948272;548641.89507482;8.191640377839
10044;3826503.4800975;461182.35056096;5064936.0253501;;254890.96566051;548656.00717649;8.067922903179
10045;3826503.4949492;461182.35646961;5064936.0157391;;254890.97012162;548655.98914225;8.0695725446813
10046;3826493.4644997;461174.99743167;5064944.2764953;;254884.58503164;548669.48854829;8.1241980685093
10047;3826483.8598945;461166.09335751;5064952.3007514;;254876.62221713;548682.62301367;8.1336393488941
10048;3826467.1372328;461146.49651123;5064966.7097845;;254858.68098433;548706.06262829;8.2041810427714
10049;3826459.7451379;461135.14223287;5064973.274837 ;;254848.07073026;548716.74375084;8.1973251157498
10050;3826453.2647975;461123.42540281;5064979.0965221;;254837.01489636;548726.27970173;8.1171131107656
10051;3826447.661552 ;461110.08130119;5064984.5594841;;254824.25443513;548735.02475715;8.1584173082387
10052;3826447.669468 ;461110.07229812;5064984.562586 ;;254824.24462446;548735.02101447;8.1649811590163
10053;3826443.1100086;461097.33725157;5064989.1100213;;254811.99341103;548742.33935729;8.1447121701068
10054;3826438.4674419;461082.72362725;5064993.9336086;;254797.87897421;548750.03110089;8.1595210901703
10055;3826435.1087681;461059.33833802;5064998.5443977;;254774.91043051;548757.23268218;8.1404602782975
10056;3826434.3134694;461054.00906974;5064999.6690049;;254769.67830745;548758.94211528;8.1771557003651
10057;3826433.4108814;461039.52485683;5065001.6551805;;254755.34130744;548761.9428658 ;8.1766346283606
10058;3826433.4173085;461039.53108287;5065001.6451817;;254755.34695952;548761.93126588;8.1729544098096
10059;3826433.3507495;461024.18457883;5065003.0501216;;254740.07316543;548763.9822205 ;8.1470451142608
10060;3826434.4721282;461009.24637745;5065003.5982773;;254725.09333296;548764.54242909;8.1782276073781
10061;3826439.5678703;460979.69594398;5065002.4225403;;254695.19123948;548762.00250083;8.1594890081818
10062;3826443.4128687;460965.28658507;5065000.71062  ;;254680.48396858;548758.99712323;8.0563095855415
10063;3826454.1223326;460937.76074406;5064995.2107178;;254652.06903387;548749.23940144;8.0945941364707
10064;3826460.6742005;460924.96944905;5064991.4047708;;254638.7173129 ;548742.70014215;8.0580466128991
10065;3826460.6724456;460924.98037437;5064991.4081699;;254638.72831821;548742.70276573;8.0604956154576
10066;3826476.2775555;460901.24983521;5064981.8584453;;254613.63244242;548726.33020779;8.0724997983415
10067;3826485.282328 ;460890.61404637;5064976.0346904;;254602.19609472;548716.46443498;8.0501150680099
10068;3826494.6321484;460880.70950142;5064969.8019091;;254591.45643947;548706.02315294;7.9607390384826
10069;3826504.5099688;460872.03539754;5064963.0981795;;254581.89183217;548694.78626427;7.900486118837
10070;3826504.5181393;460872.03363293;5064963.0924733;;254581.88930363;548694.77646656;7.9006977471915
10071;3826515.1204029;460863.96359458;5064955.8078035;;254572.8578316 ;548682.56860677;7.8542550436102
10072;3826526.58982  ;460857.31790446;5064948.2110779;;254565.1572613 ;548669.37698576;8.1807068622406
10073;3826537.8206859;460851.9831495 ;5064940.2999778;;254558.78905085;548656.08700227;8.2081077043945
10074;3826549.4480219;460847.74197273;5064931.8956137;;254553.47363161;548642.10270291;8.1582223335594
10075;3826561.2862677;460844.54398564;5064923.3003558;;254549.17631828;548627.75754563;8.1575550887838


